FO538757.2
AP006222.2
RP4-669L17.10
RP11-206L10.9
LINC00115
FAM41C
RP11-54O7.1
RP11-54O7.2
SAMD11
NOC2L
KLHL17
PLEKHN1
RP11-54O7.17
HES4
ISG15
AGRN
RNF223
C1orf159
RP11-465B22.8
TTLL10
SDF4
B3GALT6
FAM132A
UBE2J2
SCNN1D
ACAP3
PUSL1
CPSF3L
CPTP
DVL1
AURKAIP1
CCNL2
MRPL20
VWA1
ATAD3C
ATAD3B
ATAD3A
SSU72
RP5-832C2.5
C1orf233
RP11-345P4.9
MIB2
CDK11B
SLC35E2B
CDK11A
SLC35E2
NADK
GNB1
TMEM52
PRKCZ
RP5-892K4.1
FAAP20
SKI
MORN1
RER1
PEX10
PLCH2
PANK4
RP3-395M20.12
TNFRSF14
FAM213B
MMEL1
ARHGEF16
MEGF6
TPRG1L
WRAP73
TP73
SMIM1
LRRC47
CEP104
DFFB
C1orf174
LINC01134
NPHP4
KCNAB2
RPL22
RNF207
ICMT
GPR153
ACOT7
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
CAMTA1
VAMP3
PER3
PARK7
ERRFI1
RERE
ENO1
GPR157
MIR34AHG
RP3-510D11.2
H6PD
SPSB1
SLC25A33
TMEM201
PIK3CD-AS2
CLSTN1
CTNNBIP1
LZIC
NMNAT1
RBP7
UBE4B
KIF1B
PGD
APITD1-CORT
APITD1
DFFA
PEX14
CASZ1
TARDBP
SRM
EXOSC10
RP4-635E18.6
MTOR
UBIAD1
FBXO2
FBXO44
FBXO6
MAD2L2
AGTRAP
MTHFR
CLCN6
KIAA2013
PLOD1
MFN2
MIIP
TNFRSF1B
VPS13D
DHRS3
PRDM2
KAZN
TMEM51-AS1
TMEM51
FHAD1
EFHD2
CASP9
DNAJC16
AGMAT
DDI2
PLEKHM2
FBLIM1
UQCRHL
FLJ37453
SPEN
ZBTB17
FAM131C
EPHA2
ARHGEF19
FBXO42
SZRD1
NECAP2
RP4-798A10.7
NBPF1
CROCC
RP11-108M9.4
RP11-108M9.6
MFAP2
ATP13A2
SDHB
PADI1
PADI3
RCC2
ARHGEF10L
ACTL8
ALDH4A1
IFFO2
UBR4
RP1-43E13.2
EMC1
MRTO4
AKR7A3
AKR7A2
PQLC2
CAPZB
MINOS1
NBL1
TMCO4
OTUD3
CAMK2N1
MUL1
CDA
PINK1
DDOST
HP1BP3
EIF4G3
ECE1
NBPF3
ALPL
RAP1GAP
USP48
HSPG2
LINC00339
CDC42
ZBTB40
EPHB2
KDM1A
LUZP1
LINC01355
HNRNPR
ZNF436
ZNF436-AS1
E2F2
ID3
RPL11
TCEB3
TCEB3-AS1
PITHD1
LYPLA2
GALE
HMGCL
FUCA1
PNRC2
SRSF10
IL22RA1
IFNLR1
GRHL3
STPG1
NIPAL3
RCAN3
RP4-594I10.3
SRRM1
CLIC4
RUNX3
SYF2
RSRP1
TMEM50A
RHCE
TMEM57
LDLRAP1
SEPN1
MTFR1L
AUNIP
PAQR7
STMN1
PAFAH2
PDIK1L
ZNF593
CNKSR1
CEP85
SH3BGRL3
UBXN11
CD52
AIM1L
DHDDS
HMGN2
RPS6KA1
ARID1A
PIGV
ZDHHC18
SFN
GPN2
GPATCH3
NUDC
KDF1
TRNP1
FAM46B
SLC9A1
WDTC1
TMEM222
SYTL1
MAP3K6
WASF2
AHDC1
IFI6
FAM76A
STX12
PPP1R8
THEMIS2
RPA2
SMPDL3B
XKR8
EYA3
PTAFR
DNAJC8
ATPIF1
RP5-1092A3.4
SESN2
MED18
PHACTR4
RCC1
TRNAU1AP
SNHG12
TAF12
GMEB1
YTHDF2
EPB41
SRSF4
MECR
PTPRU
MATN1-AS1
SDC3
PUM1
SNRNP40
ZCCHC17
SERINC2
TINAGL1
PEF1
COL16A1
ADGRB2
SPOCD1
PTP4A2
KHDRBS1
TMEM39B
KPNA6
TXLNA
CCDC28B
IQCC
TMEM234
EIF3I
LCK
HDAC1
MARCKSL1
FAM229A
BSDC1
ZBTB8A
ZBTB8OS
RBBP4
SYNC
KIAA1522
YARS
S100PBP
TMEM54
RNF19B
AK2
AZIN2
TRIM62
ZNF362
PHC2
ZSCAN20
SMIM12
GJB5
GJB4
GJB3
ZMYM6
ZMYM1
SFPQ
ZMYM4
KIAA0319L
NCDN
PSMB2
C1orf216
CLSPN
AGO4
AGO1
AGO3
ADPRHL2
TRAPPC3
MAP7D1
THRAP3
SH3D21
EVA1B
RP11-268J15.5
STK40
LSM10
OSCP1
MRPS15
LINC01137
ZC3H12A
MEAF6
SNIP1
DNALI1
GNL2
C1orf109
CDCA8
EPHA10
MANEAL
YRDC
C1orf122
MTF1
INPP5B
SF3A3
FHL3
UTP11L
RRAGC
RP5-864K19.4
MYCBP
RHBDL2
AKIRIN1
NDUFS5
MACF1
RP11-69E11.4
PABPC4
PPIE
BMP8B
TRIT1
MYCL
MFSD2A
CAP1
PPT1
RLF
RP1-39G22.7
ZMPSTE24
SMAP2
ZFP69B
ZFP69
EXO5
ZNF684
RIMS3
NFYC-AS1
NFYC
KCNQ4
CITED4
CTPS1
SCMH1
FOXO6
EDN2
